key,x,y,z,yaw,pitch,roll
x326,2.45686,2.706,0.726162,0.411631,-1.41695,1.18422
x328,2.4977,2.69826,0.722409,0.419189,-1.41309,1.14653
x330,2.54292,2.68877,0.716578,0.407624,-1.40779,1.12745
x332,2.59072,2.67722,0.705165,0.403452,-1.40187,1.09968
x334,2.66987,2.65495,0.68049,0.49653,-1.4094,0.962018
x336,2.77012,2.59787,0.686499,1.34913,-1.45255,0.0160559
x338,2.79379,2.56808,0.696047,1.89645,-1.42157,-0.552656
x340,2.81474,2.53153,0.69049,2.12036,-1.37962,-0.795248
x342,2.82664,2.50518,0.68218,2.17474,-1.34572,-0.861987
x344,2.83441,2.47771,0.6726,2.16812,-1.32239,-0.864306
x346,2.83932,2.44341,0.662665,2.18153,-1.29623,-0.881735
x348,2.83489,2.41283,0.656558,2.15692,-1.28935,-0.858578
x350,2.82633,2.38466,0.654487,2.16127,-1.27703,-0.858132
x352,2.81283,2.35939,0.655406,2.15564,-1.27486,-0.846393
x354,2.7939,2.33722,0.661627,2.12155,-1.28357,-0.80116
x356,2.76869,2.31799,0.675413,2.04469,-1.29102,-0.706868
x358,2.70041,2.28881,0.695369,1.89831,-1.30538,-0.512526
x360,2.57056,2.26421,0.664087,1.72475,-1.31833,-0.304644
x362,2.47037,2.26164,0.630639,1.63358,-1.33989,-0.143085
x364,2.37101,2.26144,0.602439,1.22816,-1.3294,0.311159
x366,2.33158,2.26215,0.592306,1.15701,-1.31689,0.396914
x368,2.28761,2.26574,0.584862,1.07172,-1.30159,0.485724
x370,2.24625,2.27267,0.580213,1.0252,-1.29238,0.531524
x372,2.20678,2.28197,0.575164,0.99762,-1.28743,0.55973
x374,2.16913,2.29382,0.572046,0.956791,-1.28327,0.599949
x376,2.13464,2.30839,0.574054,0.913531,-1.28215,0.648691
x378,2.10019,2.32814,0.583649,0.841763,-1.28411,0.728441
x380,2.04424,2.37394,0.59564,0.646243,-1.27383,0.925982
x382,1.99831,2.43627,0.589261,0.503776,-1.2277,1.08947
x384,1.98159,2.46716,0.599615,0.443057,-1.21369,1.16647
x386,1.96793,2.49991,0.622059,0.397872,-1.20983,1.2275
x388,1.95332,2.5479,0.672281,0.280644,-1.20162,1.36526
x390,1.94938,2.56807,0.700732,0.235369,-1.19158,1.42021
x392,1.95004,2.58407,0.727563,0.196546,-1.1859,1.46704
x394,1.95659,2.59589,0.751339,0.161759,-1.18998,1.50576
x396,1.96999,2.60438,0.77143,0.11736,-1.20655,1.54951
x398,1.98866,2.61008,0.787173,0.0652577,-1.2223,1.59904
x400,2.01152,2.6134,0.797638,0.00222196,-1.24186,1.65138
x402,2.0468,2.61303,0.805487,-0.0750437,-1.2814,1.71154
x404,2.10964,2.59512,0.834091,-0.133017,-1.377,1.76925
x406,2.13243,2.58571,0.845735,-0.154196,-1.42538,1.77733
x408,2.15543,2.57566,0.849334,-0.159099,-1.45812,1.76834
x410,2.17954,2.56439,0.844011,-0.140596,-1.47735,1.73537
x412,2.20612,2.55114,0.83567,-0.0604713,-1.50394,1.64118
x414,2.25603,2.52059,0.838461,-0.0305203,-1.50679,1.59385
x416,2.27481,2.50699,0.842103,-0.0199071,-1.50514,1.57637
x418,2.29527,2.49131,0.847805,-0.037514,-1.49916,1.58879
x420,2.31691,2.47627,0.856914,-0.134726,-1.49796,1.68274
x422,2.34244,2.46192,0.867599,-0.353465,-1.51421,1.89701
x424,2.36817,2.44875,0.875164,-0.461737,-1.50726,1.99597
x426,2.43111,2.42355,0.883398,-0.783232,-1.52754,2.2875
x428,2.48844,2.40066,0.88351,-0.810489,-1.51,2.28503
x430,2.512,2.39042,0.877134,-0.768298,-1.49778,2.22675
x432,2.53608,2.37919,0.865753,-0.682026,-1.48659,2.12264
x434,2.55487,2.36969,0.853618,-0.550258,-1.46998,1.97364
x436,2.56936,2.36262,0.843741,-0.48121,-1.458,1.89229
x438,2.58862,2.35561,0.831337,-0.464109,-1.44014,1.86142
x440,2.59364,2.35544,0.826257,-0.459535,-1.43354,1.85367
x442,2.59902,2.35637,0.821861,-0.439455,-1.42939,1.83187
x444,2.60569,2.35814,0.819268,-0.411151,-1.42147,1.80089
x446,2.61577,2.35929,0.816172,-0.421519,-1.42958,1.80517
x448,2.62548,2.35928,0.811744,-0.419529,-1.41193,1.79016
x450,2.63386,2.35722,0.808308,-0.443043,-1.40085,1.80162
x452,2.64601,2.34979,0.801966,-0.445884,-1.38795,1.79029
x454,2.65268,2.34292,0.796558,-0.430874,-1.37826,1.76466
x456,2.65751,2.3369,0.791719,-0.402466,-1.37791,1.72917
x458,2.6602,2.33171,0.786526,-0.350324,-1.37412,1.6717
x460,2.66077,2.32895,0.782036,-0.312907,-1.37524,1.63096
x462,2.6573,2.32833,0.777657,-0.292214,-1.37348,1.61101
x464,2.64999,2.32758,0.771292,-0.263525,-1.38229,1.58712
x466,2.63805,2.32518,0.764454,-0.203612,-1.39035,1.53516
x468,2.61679,2.32028,0.765478,-0.143306,-1.38106,1.48863
x470,2.58418,2.32019,0.794976,-0.259909,-1.368,1.62904
x472,2.55051,2.33329,0.814537,-0.330056,-1.35647,1.73471
x474,2.51554,2.34033,0.785312,-0.328854,-1.35585,1.75899
x476,2.50653,2.34348,0.765839,-0.348111,-1.36256,1.78601
x478,2.49786,2.34662,0.746025,-0.346238,-1.36827,1.79497
x480,2.48487,2.35101,0.717948,-0.307372,-1.36446,1.77027
x482,2.47358,2.3542,0.687273,-0.248451,-1.37156,1.72635
x484,2.46496,2.35644,0.657489,-0.179446,-1.37998,1.67098
x486,2.45776,2.36013,0.612098,-0.0572768,-1.37603,1.56303
x488,2.45611,2.3604,0.584019,0.0155603,-1.372,1.49799
x490,2.4575,2.35945,0.552501,0.0967986,-1.37208,1.42207
x492,2.46432,2.35792,0.519031,0.20153,-1.37794,1.31681
x494,2.47644,2.35685,0.482215,0.329308,-1.38948,1.18223
x496,2.49203,2.35697,0.441197,0.467834,-1.40226,1.03049
x498,2.54431,2.36201,0.376081,0.890682,-1.44132,0.568459
