key,x,y,z,yaw,pitch,roll
x304,2.07885,3.24693,0.487119,1.18249,-1.18774,0.733567
x305,2.10617,3.27962,0.520817,1.10883,-1.17888,0.78942
x306,2.15344,3.31867,0.559381,1.04656,-1.17119,0.821871
x307,2.17423,3.33408,0.572569,1.02981,-1.17223,0.825312
x308,2.22298,3.37016,0.59642,0.978943,-1.16912,0.836325
x309,2.41605,3.46205,0.628736,0.972294,-1.22949,0.703673
x310,2.44114,3.46745,0.629943,0.957631,-1.22399,0.697994
x311,2.4599,3.47046,0.630499,0.97084,-1.22802,0.673743
x312,2.47659,3.47243,0.630099,0.977869,-1.22944,0.651391
x313,2.49486,3.47395,0.628418,0.992857,-1.23285,0.622784
x314,2.51148,3.475,0.626673,0.997035,-1.23102,0.605658
x315,2.53045,3.47488,0.625446,1.0129,-1.23197,0.578775
x316,2.54659,3.47463,0.625323,1.01928,-1.2305,0.560548
x317,2.56266,3.4736,0.625424,1.02275,-1.22964,0.544743
x318,2.58396,3.47156,0.624818,1.01581,-1.22525,0.538394
x319,2.60058,3.47013,0.623971,1.01689,-1.22434,0.525118
x320,2.6159,3.4691,0.623657,1.01181,-1.22168,0.517101
x321,2.63272,3.4678,0.62417,1.00665,-1.21831,0.510789
x322,2.65144,3.46543,0.625699,1.01128,-1.21811,0.494626
x323,2.6697,3.46226,0.627028,1.03135,-1.22234,0.464985
x324,2.68528,3.4594,0.627399,1.0281,-1.22233,0.456972
x325,2.70378,3.45554,0.627791,1.03189,-1.22323,0.441425
x326,2.72205,3.451,0.627877,1.04801,-1.22616,0.413944
x327,2.74263,3.44547,0.627502,1.04712,-1.2248,0.401274
x328,2.7602,3.4394,0.626571,1.06829,-1.22621,0.366926
x329,2.77843,3.4329,0.625419,1.05522,-1.22298,0.36497
x330,2.80374,3.42462,0.624561,1.05544,-1.2209,0.349296
x331,2.82178,3.41896,0.624426,1.06376,-1.22052,0.325744
x332,2.84259,3.41211,0.624204,1.068,-1.21972,0.305626
x333,2.86202,3.4051,0.624986,1.06561,-1.21873,0.291954
x334,2.90628,3.38547,0.627473,1.07957,-1.21734,0.237639
x335,2.98859,3.3385,0.633946,1.202,-1.22002,0.0541912
x336,3.02997,3.30138,0.635238,1.27871,-1.21652,-0.0632258
x337,3.04231,3.28734,0.633657,1.3254,-1.21186,-0.123576
x338,3.05476,3.26841,0.632913,1.42622,-1.20213,-0.232683
x339,3.06607,3.2472,0.633477,1.5347,-1.18589,-0.35203
x340,3.07221,3.23244,0.63281,1.58183,-1.17605,-0.407543
x341,3.07415,3.22374,0.631754,1.60872,-1.16871,-0.44099
x342,3.07628,3.21123,0.628827,1.65007,-1.15715,-0.487015
x343,3.07792,3.19744,0.625161,1.68648,-1.14364,-0.526966
x344,3.07843,3.18612,0.622708,1.70101,-1.13247,-0.544929
x345,3.07839,3.17055,0.6207,1.71407,-1.11871,-0.562048
x346,3.07665,3.15656,0.619332,1.71259,-1.11084,-0.564735
x347,3.07315,3.14307,0.617609,1.72146,-1.0989,-0.577679
x348,3.06785,3.12768,0.616468,1.74261,-1.0819,-0.600459
x349,3.06099,3.11383,0.616749,1.74876,-1.07157,-0.608132
x350,3.05251,3.10309,0.617768,1.71636,-1.07564,-0.579118
x351,3.04262,3.09341,0.621347,1.74442,-1.0584,-0.604144
x352,3.03159,3.08258,0.62588,1.75685,-1.05027,-0.612911
x353,3.01932,3.07262,0.62926,1.73599,-1.05716,-0.59248
x354,3.00705,3.06517,0.631787,1.75033,-1.05116,-0.6027
x355,2.99453,3.05845,0.634535,1.76294,-1.04561,-0.609349
x356,2.9774,3.05075,0.638283,1.73965,-1.0558,-0.583299
x357,2.93947,3.03457,0.644862,1.7435,-1.05776,-0.575361
x358,2.89695,3.02014,0.646586,1.71741,-1.07206,-0.536612
x359,2.81986,3.01052,0.639796,1.69971,-1.08522,-0.491898
x360,2.75794,3.01679,0.622301,1.65022,-1.10293,-0.405829
x361,2.69379,3.03609,0.603268,1.52906,-1.12542,-0.247443
x362,2.67144,3.04357,0.597367,1.49024,-1.13181,-0.194685
x363,2.65173,3.04954,0.59197,1.4551,-1.13628,-0.146759
x364,2.60107,3.06262,0.577228,1.35081,-1.14354,-0.0203147
x365,2.58966,3.06484,0.573874,1.31229,-1.14379,0.0214664
x366,2.56809,3.06994,0.567749,1.27292,-1.14363,0.0661726
x367,2.54952,3.07434,0.562817,1.21682,-1.14141,0.126333
x368,2.53278,3.07845,0.558744,1.17239,-1.13704,0.175073
x369,2.51472,3.08464,0.552219,1.14958,-1.13325,0.204009
x370,2.49644,3.09327,0.543223,1.11362,-1.12792,0.242324
x371,2.48257,3.10132,0.535996,1.06982,-1.12004,0.286452
x372,2.46961,3.10867,0.530226,1.05401,-1.1134,0.303898
x373,2.45501,3.11754,0.525909,1.03972,-1.10779,0.319804
x374,2.4388,3.12795,0.522518,1.01687,-1.10287,0.343274
x375,2.42743,3.13615,0.519671,1.00148,-1.10007,0.359439
x376,2.41549,3.14598,0.516729,0.98579,-1.09847,0.375185
x377,2.40055,3.15959,0.513441,0.93401,-1.09149,0.421664
x378,2.38627,3.17343,0.510319,0.919255,-1.09143,0.435386
x379,2.36332,3.20348,0.502621,0.904303,-1.09706,0.453006
x380,2.33935,3.23724,0.497331,0.846264,-1.09363,0.512114
x381,2.31467,3.27578,0.496623,0.721945,-1.07777,0.631917
x382,2.29683,3.31436,0.506496,0.649956,-1.06889,0.709414
x383,2.28922,3.33584,0.512926,0.624771,-1.06901,0.73894
x384,2.28531,3.35191,0.518381,0.61653,-1.07207,0.75455
x385,2.28265,3.36873,0.526193,0.590676,-1.07066,0.787231
x386,2.28103,3.38895,0.535544,0.568579,-1.07281,0.816649
x387,2.28178,3.42895,0.559426,0.560156,-1.09183,0.841827
x388,2.28242,3.4454,0.570971,0.535538,-1.09123,0.869851
x389,2.28284,3.45734,0.581396,0.519874,-1.09273,0.889266
x390,2.28423,3.46985,0.595364,0.515015,-1.09902,0.900268
x391,2.28559,3.47782,0.605387,0.492495,-1.09976,0.926921
x392,2.28769,3.49102,0.621987,0.470882,-1.1002,0.9521
x393,2.29025,3.49914,0.632586,0.440481,-1.09692,0.984804
x394,2.29384,3.50764,0.6431,0.428879,-1.10208,1.00046
x395,2.29748,3.51302,0.650582,0.416502,-1.10514,1.01597
x396,2.30422,3.52022,0.662939,0.410982,-1.11232,1.02425
x397,2.31096,3.52437,0.671739,0.402474,-1.11899,1.03432
x398,2.32044,3.52802,0.68326,0.403813,-1.13253,1.03514
x399,2.33056,3.53073,0.693337,0.408545,-1.1493,1.03171
x400,2.34251,3.53275,0.704091,0.406541,-1.16392,1.03345
x401,2.35262,3.5332,0.712416,0.398941,-1.17627,1.03866
x402,2.37365,3.53043,0.729055,0.396452,-1.20494,1.03585
x403,2.40634,3.51803,0.741981,0.390584,-1.25041,1.03341
x404,2.43446,3.50443,0.742012,0.444028,-1.29163,0.973407
