key,x,y,z,yaw,pitch,roll
x320,2.35542,2.73134,0.727819,0.544113,-1.38686,1.13639
x322,2.38999,2.72984,0.728744,0.550456,-1.39249,1.10726
x324,2.4255,2.72687,0.728505,0.566305,-1.39593,1.06755
x326,2.46389,2.72139,0.726163,0.477246,-1.39708,1.11256
x328,2.49997,2.71373,0.721615,0.494084,-1.39514,1.06875
x330,2.5417,2.70442,0.71746,0.564179,-1.39409,0.965974
x332,2.57964,2.69497,0.714199,0.605692,-1.39136,0.897545
x334,2.64905,2.67002,0.712594,0.781622,-1.41322,0.670191
x336,2.77836,2.5977,0.708235,1.57976,-1.42692,-0.214302
x338,2.81229,2.56382,0.702286,1.87626,-1.39869,-0.536498
x340,2.83362,2.53353,0.694941,2.0767,-1.3572,-0.74753
x342,2.84436,2.50899,0.684553,2.10532,-1.3336,-0.784503
x344,2.84967,2.4895,0.677462,2.09301,-1.3231,-0.777967
x346,2.85305,2.45851,0.66648,2.11405,-1.28412,-0.805129
x348,2.84834,2.4272,0.658073,2.07001,-1.27582,-0.760496
x350,2.83712,2.40124,0.655644,2.08912,-1.25678,-0.775814
x352,2.81938,2.37364,0.65637,2.10445,-1.25678,-0.789506
x354,2.79865,2.35226,0.657457,2.07307,-1.26637,-0.75047
x356,2.76789,2.32782,0.660293,2.06729,-1.26127,-0.727623
x358,2.69328,2.2822,0.660058,1.99495,-1.28359,-0.622712
x360,2.54919,2.25296,0.636839,1.79845,-1.31417,-0.346238
x362,2.45782,2.26051,0.620895,1.59052,-1.3257,-0.0892802
x364,2.37818,2.2661,0.605796,1.27538,-1.3209,0.252915
x366,2.33997,2.26878,0.598457,1.16583,-1.30147,0.370971
x368,2.2998,2.27288,0.590217,1.07251,-1.28777,0.471697
x370,2.26226,2.28257,0.578495,1.02405,-1.26972,0.522932
x372,2.22854,2.29307,0.569368,0.99411,-1.25449,0.566337
x374,2.1958,2.30554,0.564493,0.950398,-1.24367,0.613323
x376,2.16554,2.32045,0.561286,0.891506,-1.23193,0.669397
x378,2.13197,2.34197,0.558342,0.834482,-1.23046,0.727499
x380,2.07026,2.3943,0.557666,0.668502,-1.20231,0.900236
x382,2.00794,2.4602,0.581941,0.534412,-1.19793,1.06619
x384,1.98884,2.49001,0.600416,0.483861,-1.1877,1.13641
x386,1.97613,2.52027,0.622726,0.439049,-1.1885,1.19505
x388,1.96285,2.56579,0.66772,0.355624,-1.17795,1.29592
x390,1.95944,2.58298,0.693858,0.312803,-1.17322,1.346
x392,1.9579,2.59996,0.72373,0.267734,-1.16904,1.40039
x394,1.95993,2.61197,0.745647,0.240474,-1.17646,1.43161
x396,1.96813,2.62275,0.769087,0.203071,-1.20102,1.4658
x398,1.98152,2.62892,0.790517,0.174748,-1.22623,1.49128
x400,2.00195,2.63292,0.812449,0.13556,-1.25354,1.52299
x402,2.03069,2.63078,0.835848,0.100558,-1.29125,1.55264
x404,2.10003,2.61035,0.849527,0.111102,-1.39316,1.52333
x406,2.12504,2.60039,0.851634,0.204403,-1.44082,1.42881
x408,2.15211,2.58962,0.853385,0.0815478,-1.46133,1.53464
x410,2.18349,2.57759,0.84974,0.12455,-1.47368,1.4782
x412,2.20673,2.56887,0.8456,0.160314,-1.48006,1.43137
x414,2.2694,2.5362,0.843123,0.115023,-1.4893,1.44518
x416,2.28971,2.52253,0.844435,0.125578,-1.48223,1.42756
x418,2.30854,2.50658,0.847545,0.132938,-1.47186,1.41424
x420,2.3268,2.48735,0.859252,-0.00735577,-1.48101,1.55199
x422,2.34623,2.47332,0.871033,-0.171465,-1.50913,1.71287
x424,2.37027,2.45829,0.883957,-0.303441,-1.50089,1.83772
x426,2.43367,2.43681,0.891903,-0.402044,-1.52449,1.90926
x428,2.49526,2.41576,0.887908,-0.597748,-1.50134,2.07726
x430,2.52056,2.40517,0.881327,-0.69098,-1.48172,2.1505
x432,2.54903,2.38955,0.8676,-0.494535,-1.46635,1.93197
x434,2.5693,2.38081,0.855077,-0.412882,-1.44503,1.8351
x436,2.58535,2.37233,0.843667,-0.359767,-1.42912,1.76929
x438,2.59944,2.36633,0.833972,-0.310523,-1.42379,1.70214
x440,2.60394,2.36696,0.827118,-0.281191,-1.41713,1.66961
x442,2.60841,2.36742,0.822862,-0.273659,-1.41199,1.65966
x444,2.61632,2.36633,0.821223,-0.148873,-1.41919,1.53788
x446,2.62782,2.37106,0.817218,-0.1639,-1.42791,1.54506
x448,2.64212,2.37259,0.810522,-0.311488,-1.40226,1.67859
x450,2.65033,2.36839,0.808746,-0.372725,-1.38765,1.73102
x452,2.66233,2.36137,0.8012,-0.36473,-1.37315,1.70935
x454,2.66983,2.35355,0.795295,-0.359101,-1.36005,1.694
x456,2.67051,2.34607,0.793233,-0.333755,-1.36947,1.66176
x458,2.67336,2.33786,0.787458,-0.336933,-1.3588,1.66175
x460,2.67412,2.33396,0.782437,-0.310089,-1.363,1.63218
